unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Alappuzha,RMC,Construction company,Ultratech Concrete,https://www.ultratechcement.com/for-infrastructure/infrastructure-solution/ready-mixed-concrete,,"Willingdon Island, NH966B, Kochi, Kerala 682029",Kochi,Kerala,682029,19,3.9,14300810844931404301,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Ultratech Cement Limited RMC Muvattupuzha,https://online.fliphtml5.com/jfuoh/ackt/#p=4,,"XJH9%2BQJV, Kalloorkad - Muvattupuzha Rd, Muvattupuzha, Kerala 686673",Muvattupuzha,Kerala,686673,4,5,7077469063974837583,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,IM Enterprise,,,"X7PX%2BPXP Im Enterprise, Road, near Alreem, Kathrikadavu, Kaloor, Ernakulam, Kerala 682017",Ernakulam,Kerala,682017,0,,16009157495875148824,,,,,,,,,,,
,,,,,Alappuzha,RMC,Manufacturer,Ramco Cements Limited,https://ramcocements.in/,084823 74783,"X7JJ%2BHXR, Padma Junction, Pullepady, Ernakulam, Kerala 682035",Ernakulam,Kerala,682035,15,4.7,16161916505605290546,,,,,,,,,,,
,,,,,Alappuzha,RMC,Building materials supplier,DEVASSY & COMPANY,http://www.devassyandcompany.com/,094463 69430,"Kannankulangara, Thrippunithura, Ernakulam, Kerala 682301",Ernakulam,Kerala,682301,17,4.2,13463553627325607688,,,,,,,,,,,
,,,,,Alappuzha,RMC,Manufacturer,Asian Construction Equipment Company,http://www.asianequipments.com/,098473 40752,"Door No: 46/832-D, Sreepadam, Chalikkavattom, Vennala P.O, Kochi, Kerala 682028",Kochi,Kakkanad,682028,90,4.4,2359330885341897332,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Chithira well,,,"X8R9%2B58W, Chakkaraparambu, Vennala, Kochi, Ernakulam, Kerala 682028",Kochi,Ernakulam,682028,0,,4923080901902528810,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Best Readymix Concrete,http://www.bestreadymix.com/,085890 94477,"BEST READYMIX CONCRETES, SY NO.240/2-2, 240/2 PULIYANAM P O, PARAKKADAVU, Angamaly, Kerala 683572",Angamaly,Kerala,683572,5,3.6,14163801449603727612,,,,,,,,,,,
,,,,,Alappuzha,RMC,Construction company,Cherian Varkey Construction Company,http://www.cherianvarkey.com/home,0484 412 0666,"5th floor, Alpha Plaza, KP Vallon Rd, Giri Nagar, Kadavanthra, Kochi, Ernakulam, Kerala 682020",Kochi,Ernakulam,682020,97,4.6,2701153299200545106,,,,,,,,,,,
,,,,,Alappuzha,RMC,Cement supplier,Chakkanattu Agencies,,094959 65347,"Dhanuskodi Road, Shastri Nagar, Maradu, Ernakulam, Kerala 682304",Ernakulam,Kerala,682304,32,4.5,1579855648088217510,,,,,,,,,,,
